,len,dose,supp,,Anova: Two-Factor With Replication,,,,,,
1,4.2,0.5,VC,,,,,,,,
2,11.5,0.5,VC,,SUMMARY,len,dose,Total,,,
3,7.3,0.5,VC,,1,,,,,,
4,5.8,0.5,VC,,Count,30,30,60,,,
5,6.4,0.5,VC,,Sum,508.9,35,543.9,,,
6,10,0.5,VC,,Average,16.96333333,1.166666667,9.065,,,
7,11.2,0.5,VC,,Variance,68.32722989,0.402298851,97.22333051,,,
8,11.2,0.5,VC,,,,,,,,
9,5.2,0.5,VC,,31,,,,,,
10,7,0.5,VC,,Count,30,30,60,,,
11,16.5,1,VC,,Sum,619.9,35,654.9,,,
12,16.5,1,VC,,Average,20.66333333,1.166666667,10.915,,,
13,15.2,1,VC,,Variance,43.63343678,0.402298851,118.2853644,,,
14,17.3,1,VC,,,,,,,,
15,22.5,1,VC,,Total,,,,,,
16,17.3,1,VC,,Count,60,60,,,,
17,13.6,1,VC,,Sum,1128.8,70,,,,
18,14.5,1,VC,,Average,18.81333333,1.166666667,,,,
19,18.8,1,VC,,Variance,58.5120226,0.395480226,,,,
20,15.5,1,VC,,,,,,,,
21,23.6,2,VC,,,,,,,,
22,18.5,2,VC,,ANOVA,,,,,,
23,33.9,2,VC,,Source of Variation,SS,df,MS,F,P-value,F crit
24,25.5,2,VC,,Sample,102.675,1,102.675,3.642078989,0.058807915,3.922879362
25,26.4,2,VC,,Columns,9342.145333,1,9342.145333,331.3837957,8.54632E-36,3.922879362
26,32.5,2,VC,,Interaction,102.675,1,102.675,3.642078989,0.058807915,3.922879362
27,26.7,2,VC,,Within,3270.192667,116,28.19131609,,,
28,21.5,2,VC,,,,,,,,
29,23.3,2,VC,,Total,12817.688,119,,,,
30,29.5,2,VC,,,,,,,,
31,15.2,0.5,OJ,,,,,,,,
32,21.5,0.5,OJ,,,,,,,,
33,17.6,0.5,OJ,,,,,,,,
34,9.7,0.5,OJ,,,,,,,,
35,14.5,0.5,OJ,,,,,,,,
36,10,0.5,OJ,,,,,,,,
37,8.2,0.5,OJ,,,,,,,,
38,9.4,0.5,OJ,,,,,,,,
39,16.5,0.5,OJ,,,,,,,,
40,9.7,0.5,OJ,,,,,,,,
41,19.7,1,OJ,,,,,,,,
42,23.3,1,OJ,,,,,,,,
43,23.6,1,OJ,,,,,,,,
44,26.4,1,OJ,,,,,,,,
45,20,1,OJ,,,,,,,,
46,25.2,1,OJ,,,,,,,,
47,25.8,1,OJ,,,,,,,,
48,21.2,1,OJ,,,,,,,,
49,14.5,1,OJ,,,,,,,,
50,27.3,1,OJ,,,,,,,,
51,25.5,2,OJ,,,,,,,,
52,26.4,2,OJ,,,,,,,,
53,22.4,2,OJ,,,,,,,,
54,24.5,2,OJ,,,,,,,,
55,24.8,2,OJ,,,,,,,,
56,30.9,2,OJ,,,,,,,,
57,26.4,2,OJ,,,,,,,,
58,27.3,2,OJ,,,,,,,,
59,29.4,2,OJ,,,,,,,,
60,23,2,OJ,,,,,,,,
